Rank,Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,,,,,,
23,2017,57,26,31,0.456,69-80,0.463,743-756,0.496,17-20,0.459,57,0.798,0.197,0.096,0.042,0.574,0.735,0.502,0.636,0.36,0.498,0.99,,,,,,
24,2023,43,26,17,0.605,65-44,0.596,595-538,0.525,18-15,0.545,42,0.843,0.207,0.11,0.028,0.619,0.747,0.529,0.664,0.363,0.512,1.08,,,,,,
24,2022,56,34,22,0.607,85-59,0.59,754-661,0.533,45639,0.52,56,0.797,0.265,0.074,0.03,0.642,0.701,0.504,0.63,0.392,0.511,1.06,,,,,,
24,2021,49,31,18,0.633,67-47,0.588,581-524,0.526,45451,0.429,49,0.809,0.246,0.071,0.033,0.65,0.715,0.505,0.641,0.389,0.515,1.08,,,,,,
25,2023,43,26,17,0.605,65-44,0.596,595-538,0.525,18-15,0.545,42,0.843,0.207,0.11,0.028,0.619,0.747,0.529,0.664,0.363,0.512,1.08,,,,,,
25,2022,56,34,22,0.607,85-59,0.59,754-661,0.533,13-12,0.52,56,0.797,0.265,0.074,0.03,0.642,0.701,0.504,0.63,0.392,0.511,1.06,,,,,,
25,2021,49,31,18,0.633,67-47,0.588,581-524,0.526,45451,0.429,49,0.809,0.246,0.071,0.033,0.65,0.715,0.505,0.641,0.389,0.515,1.08,,,,,,
25,2020,6,3,3,0.5,45606,0.524,96-98,0.495,0-1,0,6,0.74,0.258,0.054,0.025,0.705,0.644,0.528,0.61,0.374,0.495,0.96,,,,,,
25,2018,1,0,1,0,45293,0.333,45642,0.429,0-0,-,1,0.643,0.214,0.118,0.065,0.645,0.683,0.333,0.559,0.345,0.458,0.78,,,,,,
26,2023,52,24,28,0.462,62-68,0.477,635-667,0.488,45641,0.444,48,0.819,0.159,0.145,0.097,0.593,0.789,0.457,0.654,0.337,0.497,0.97,,,,,,
26,2022,60,33,27,0.55,80-69,0.537,748-727,0.507,13-14,0.481,57,0.817,0.197,0.168,0.084,0.594,0.788,0.437,0.645,0.36,0.503,1.02,,,,,,
26,2021,65,35,30,0.538,85-75,0.531,799-776,0.507,45609,0.458,64,0.816,0.198,0.173,0.084,0.574,0.771,0.461,0.639,0.351,0.499,0.97,,,,,,
26,2020,30,14,16,0.467,32-41,0.438,353-388,0.476,45509,0.615,30,0.785,0.162,0.124,0.068,0.573,0.761,0.449,0.628,0.349,0.487,0.94,,,,,,
26,2019,30,15,15,0.5,40-45,0.471,431-454,0.487,45637,0.522,30,0.798,0.171,0.171,0.094,0.582,0.755,0.464,0.633,0.341,0.489,0.93,,,,,,
26,2018,5,1,4,0.2,45331,0.182,46-67,0.407,45292,0.5,5,0.673,0.143,0.048,0.079,0.626,0.691,0.391,0.579,0.34,0.46,0.81,,,,,,
27,2023,62,33,29,0.532,78-71,0.523,733-675,0.521,45570,0.667,61,0.787,0.254,0.054,0.034,0.616,0.706,0.511,0.631,0.387,0.508,1.05,,,,,,
27,2022,63,34,29,0.54,80-75,0.516,772-743,0.51,45640,0.462,60,0.788,0.236,0.047,0.027,0.648,0.694,0.536,0.639,0.372,0.505,1.03,,,,,,
27,2021,43,21,22,0.488,56-56,0.5,521-550,0.486,13-5,0.722,42,0.757,0.203,0.035,0.025,0.67,0.669,0.49,0.61,0.369,0.49,0.95,,,,,,
27,2020,8,5,3,0.625,45601,0.688,83-65,0.561,36557,1,8,0.776,0.307,0.036,0.025,0.641,0.68,0.466,0.603,0.421,0.516,1.06,,,,,,
28,2023,57,31,26,0.544,74-66,0.529,699-671,0.51,45519,0.348,56,0.765,0.263,0.028,0.021,0.72,0.651,0.533,0.618,0.395,0.505,1.03,,,,,,
28,2022,56,26,30,0.464,67-75,0.472,667-689,0.492,45456,0.316,53,0.744,0.253,0.022,0.026,0.73,0.638,0.527,0.608,0.391,0.497,1,,,,,,
28,2021,7,3,4,0.429,45386,0.5,31-29,0.517,0-0,-,6,0.736,0.278,0.009,0.009,0.775,0.651,0.52,0.622,0.381,0.503,1.01,,,,,,
29,2023,42,22,20,0.524,53-52,0.505,548-532,0.507,15-14,0.517,41,0.842,0.168,0.113,0.06,0.603,0.78,0.488,0.664,0.349,0.504,1.04,,,,,,
29,2022,87,60,27,0.69,142-77,0.648,1195-1005,0.543,32-23,0.582,79,0.862,0.21,0.14,0.044,0.646,0.769,0.505,0.675,0.371,0.521,1.14,,,,,,
29,2021,62,38,24,0.613,93-67,0.581,833-750,0.526,16-12,0.571,60,0.839,0.212,0.12,0.055,0.629,0.769,0.505,0.671,0.371,0.517,1.13,,,,,,
29,2020,42,23,19,0.548,54-48,0.529,522-496,0.513,14-9,0.609,42,0.825,0.19,0.114,0.055,0.637,0.748,0.501,0.658,0.357,0.507,1.04,,,,,,
29,2019,56,34,22,0.607,73-59,0.553,686-667,0.507,20-10,0.667,55,0.811,0.195,0.113,0.06,0.655,0.742,0.485,0.654,0.354,0.506,1.02,,,,,,
